gu2-de3,AN
a-sza3-u2-du-{d}nin-a-ra-li,WN
a-sza3-tur,WN
a-sza3-muru13-uku2,WN
a-sza3-sipa-da,WN
{d}nin-he2-gal2,WN
a-sza3-ni-da-mu,WN
nina{ki}-sze3-du,WN
i7-nun-KIB{ki},WN
i7-nam-ha-ni,WN
i7-ur-tur,WN
i7-lugal-igi-e2-mah,WN
i7-gurusz-gin7-du,WN
lugal-ur2-ra-ni,WN
i7-gir2-su,WN
i7-UD@g,WN
i7-{d}en-lil2-la2-ka,WN
igi-...,WN
u3-PI-iri-a,WN
i7-tur-tur-ra,WN
x-pirig,WN
i7-UD@g-us2-sa,WN
i7-sal4-la{ki},WN
a-sza3-a-bu3,WN
i7-ur-sag10-ka,WN
i7-zimbir(UD-NUN-KIB),WN
i7-e3-ka-...,WN
i7-{d}amar-{d}suen-{d}szara2-pa3-e3,WN
i7-gibil-dal-ba-na-anzu2{muszen}-babbar2,WN
pa5-tibira{ki},WN
i7-lugal-u6-a,WN
nigin6{ki}-sze3-du,WN
i7-{d}ba-ba6-he2-gal2,WN
id-hu,WN
i7-tum-al,WN
a-sza3-...-DU-mu-ul-lu,WN
i7-gibil,WN
i7-nidba2-du,WN
a-sza3-i3-sum-ka,WN
i7-nina{ki}-sze3-du-ka,WN
i7-szu-ga-lam-ma,WN
i7-u3-sur,WN
i7-suh-gibil-du3-a,WN
i7-gurusz-gin7-du-a,WN
i7-{d}szara2-he2-gal2-ka,WN
i7-sag-erin-du8-a,WN
i7-tum-ma-al,WN
e2-duru5-{d}amar-{d}suen-ka,WN
i7-idigna-ka,WN
i7-{d}nin-ur4,WN
ambar-ra-ka,WN
i7-nig2-sze3-mar,WN
i7-si-sa2-a,WN
da-{gesz}kiri6-{gesz}ma-nu,WN
i7-e2-ansze,WN
i7-bur-a-DI-IGI,WN
muru13-i7-lugal,WN
i7-giri3-bi-nu-me-a-NE-KU,WN
i7-da,WN
{d}szu-{d}suen-he2-gal2,WN
i7-si-sa2,WN
e2-duru5-ad-da-a,WN
i7-suh-gibil-du3-a-ka,WN
i7-lugal-anzu2{muszen},WN
i7-he-gal,WN
i7-da-ka,WN
gu2-amusz,WN
i7-KU-...,WN
i7-{d}szul-gi-pirig-a2-igi-nim-ma-bi,WN
i7-{d}szul-gi-pirig-a2-igi-nim-ma,WN
i7-{d}amar-{d}suen-ke4-gar-ka,WN
u3-wa-ri-da,WN
{d}nanna-gu2-gal-sze3,WN
ki-gam-ma-ka,WN
i7-amusz,WN
a-ga-am-ur-ku5-da,WN
i7-du-du,WN
a-sza3-...-du-mu-ul-li,WN
i7-sal4-ka,WN
i7-u2-du-{d}nin-a-ra-li-ke4-ka,WN
{gesz}kiri6-a-ab-ba-ka,WN
i7-idigna-e2-duru5-nin-a2-zi-da,WN
suh-gibil-du3-a,WN
i7-{d}amar-{d}suen-ke4(GESZ-URUDU)-gar,WN
pu2-u-esz18-dar,WN
i7-tum-ma-al-la,WN
e2-dun,WN
idigna-ka,WN
i7-{d}szul-pa-e3,WN
i7-ni-nam{ki},WN
i7-musz-bi-an-na-ka,WN
i7-nina{ki}-du,WN
i7-inim-ma-dingir,WN
ki-nu-ma-ka,WN
i7-{d}nin-hur-sag-ka,WN
si-sa2-ka,WN
i7-lugal-anzu{muszen},WN
i7-dul9-la2{ki},WN
i7-u3-sur-erim2-ze2-ze2-gi-na,WN
a-sza3-a-u2-da,WN
masz-gan2{ki}-ka,WN
ki-sal4,WN
buranun-na,WN
a-za-ki,WN
igi-anzu2{muszen}-babbar,WN
i7-edin-na,WN
{d}szu-{d}suen-{d}en-lil2-la2,WN
i7-{d}en-ki-zi-sza3-gal2,WN
i7-nun-na,WN
i7-e-dar-a,WN
sur,WN
sumun-i7-lugal,WN
i7-{d}nin-...,WN
dub-la2-{d}utu,WN
i7-anzu{muszen}-babbar2,WN
i7-{d}amar-{d}suen-ni-tum,WN
i7-x-ansze,WN
i7-{d}amar-{d}suen,WN
i7-{d}nin-hur-sag,WN
a-sza3-a-in-zu,WN
ti-ra-asz,WN
idigna-a,WN
i7-KA-e3,WN
i7-gal-la,WN
i7-ib2-tur3{ki},WN
i7-ka-sahar-ka,WN
i7-du-du-ka,WN
i7-sal4-la-ka,WN
u3-dag-ga,WN
A-...-ga,WN
kun-i7-{gesz}pu2,WN
i7-{d}szara2-he2-gal2,WN
i3-ba-al-nu-ba-al,WN
gurusz-gin7-du-ka,WN
idigna,WN
i7-ma2-gur8-ka,WN
i7-la,WN
i7-{d}szul-gi-pirig,WN
a-sza3-{d}szara2-muru13,WN
idigna-a-pi4-sal4{ki},WN
i7-da-musz-bi-an-na,WN
i3-sum-ma-ka,WN
i7-sal4-la-a,WN
i7-lugal-bi-gin7-du,WN
gurusz-gi18{gi}-du,WN
i7-pirig-gin7-du,WN
i7-musz,WN
a-sza3-nun-na,WN
tug2,WN
a-sza3-gibil,WN
u3-dag-il2,WN
i7-e-e-dar-a,WN
gu2-a-ga-am,WN
i7-sanga,WN
da-e2-duru5-{d}amar-{d}suen,WN
i7-musz-bi-an-na,WN
i7-gesz-gi-gal,WN
ur-{d}nin-ur4,WN
x-lum,WN
idigna,WN
i7-ur-{d}utu,WN
i7-kun,WN
i7-{d}amar-{d}suen-ur-sag-ga2,WN
i7-nina{ki}-sze3-du,WN
i7-nin-pirig-tur,WN
kun-nagar,WN
id2(ENGUR)-kun-sumun-kam,WN
i7-nina(UNUG){ki}-sze3-du,WN
i7-e2-sukud-ra2,WN
gaba-a-sza3-du6-gi4-du3-a,WN
i7-en-du8-du,WN
i7-u3-sur-erim2-ze2-ze2,WN
i7-a2-husz-ba-ne-ba-al,WN
id2-nin-mu-du,WN
lugal-musz-x,WN
{gesz}szinig,WN
a-sza3-ba-zi-gi4-a-engar,WN
nin-sur-tir,WN
x-gam-gam-ma,WN
i7-{d}nin-zu,WN
i7-lugal-musz-husz,WN
zubi(LAK459),WN
i7-e2-dun,WN
e2-duru5-be-li2-a-ri2-ik,WN
i7-ib2-tur3,WN
i7-gir2-su{ki}-ka,WN
i7-nam-ha-ni-ka,WN
i7-un-sa6-ga,WN
du-du-ka,WN
i7-a-ra-li,WN
id2-{d}nin-mu-du,WN
dub-la2-{d}utu-ka,WN
dur-ul3-ta,WN
i7-si{ki},WN
i7-da-sa6,WN
a-sza3-{d}nin-ur4,WN
i7-gibil-MUSZ2-BIL2-du3-a,WN
i7-{d}amar-{d}suen-ra-ga2,WN
i7-{d}na-ru2-a-palil,WN
sa-ri2-num2-ma,WN
apin-gibil-du3,WN
i7-da-umma{ki},WN
i7-{d}amar-{d}suen-ga2,WN
i7-ma-sag10-hul-i7-ka-ma-ri2{ki},WN
am3-ri2-ma-ka,WN
u3-sur,WN
i7-unu{ki}-ka,WN
i7-idigna,WN
da-bara2,WN
i7-pirig-tur-gin7-du,WN
i7-sza3-ku3-ge,WN
i7-ku3-ga,WN
i7-lugal-gu-la,WN
i7-na-nam-da,WN
a-sza3-{d}inanna,WN
i7-szu-a-si-gal2,WN
i7-a-gesztin-na-ka,WN
e2-gibil4,WN
e2-duru5-sikil,WN
i7-i3-sum-ma,WN
i7-{d}nin-gir2-su,WN
i7-pa4-mu-silim,WN
